Ticker,ano,lpa
AMER3,2010,0.3047
ENGI11,2010,0.1785
NEOE3,2010,0.3
PSSA3,2010,1.90246
UPKP3,2010,0.2777
EMAE4,2010,0.07969
TGMA3,2010,0.0
RAIL3,2010,0.3544
CPFE3,2010,3.2424
EGIE3,2010,1.85624
STBP3,2010,0.17084
COGN3,2010,-0.37513
CCRO3,2010,1.5
JBSS3,2010,-0.12145
PDGR3,2010,0.7318
BRAP4,2010,0.0
MRFG3,2010,0.4216
ATMP3,2010,1.82
ECOR3,2010,1.118
ENEV3,2010,-1.8751
FRIO3,2010,1.624
SEER3,2010,0.33222
EMBR3,2010,0.7926
SGPS3,2010,-0.15318023
MULT3,2010,1.2286
TAEE11,2010,1.627
TCSA3,2010,1.376
LPSB3,2010,2.13376
JHSF3,2010,0.50084
EZTC3,2010,1.7
MRVE3,2010,1.3164
GPAR3,2010,-19.23595
NEXP3,2010,0.43571
SYNE3,2010,1.08709
YDUQ3,2010,0.00101
TRIS3,2010,0.4898
OSXB3,2010,0.0073
TECN3,2010,0.283
PRIO3,2010,0.218
ENAT3,2010,0.59
APER3,2010,14.7
QUAL3,2010,-0.011
MDNE3,2010,2.1
BGIP3,2010,5.17
BGIP4,2010,5.17
CRPG5,2010,-0.02727
FESA4,2010,1.562
SUZB3,2010,1.97777
ARZZ3,2010,0.82
DIRR3,2010,1.249
RENT3,2010,1.3
RPAD5,2010,0.63216
BMEB4,2010,5.245
BRGE11,2010,0.7249
CEDO4,2010,4.02
CSMG3,2010,114929.328
CTSA3,2010,0.5764
CTSA4,2010,0.634
FHER3,2010,1.27509
CTNM4,2010,0.0186
BEES4,2010,0.94
PETR4,2010,3.57
JFEN3,2010,0.91892
BHIA3,2010,0.0
CSNA3,2010,1.72594
MOAR3,2010,0.0
VLID3,2010,1.8262
UGPA3,2010,1.43
SOND5,2010,1761.0
RPMG3,2010,-0.21
TKNO4,2010,9.55121
VALE3,2010,5.66
GGBR4,2010,1.50316
BRKM5,2010,2.6497
EPAR3,2010,0.022
EVEN3,2010,1.18
SBSP3,2010,7.15623
BAHI3,2010,8.71714
MGLU3,2010,0.45889
VSTE3,2010,0.65381
BOBR4,2010,0.52
VULC3,2010,0.0
PLAS3,2010,0.0
JSLG3,2010,0.51
TOTS3,2010,4.41
EUCA4,2010,1.34
ROMI3,2010,0.91
BMKS3,2010,382.24512
ODPV3,2010,1.23683
BPAN4,2010,-0.77
LEVE3,2010,2.52418
IGTI11,2010,0.0064
NEMO5,2010,1.89745
BBDC4,2010,2.77
BRIV4,2010,0.83701
FLRY3,2010,0.99
ITUB4,2010,2.58
USIM5,2010,1.67
RSID3,2010,0.7071
ETER3,2010,1.14
MYPK3,2010,1.9776
AMAR3,2010,1.13072
DASA3,2010,0.42751
ITSA4,2010,1.01
REDE3,2010,-1.06
PINE4,2010,1.95
RDNI3,2010,1.4753
VIVR3,2010,0.2431
TEND3,2010,0.3027
CYRE3,2010,0.0
OIBR4,2010,3.34
INEP4,2010,0.47875
TEKA4,2010,-3.60622
PTBL3,2010,0.2
CLSC4,2010,7.0911
WEGE3,2010,0.84
DOHL3,2010,2.46
DOHL4,2010,2.46
MWET4,2010,-0.14
SHUL3,2010,0.747
SHUL4,2010,0.747
MTSA4,2010,2.03322
FRTA3,2010,110000.0
JOPA4,2010,1.26193
HBTS5,2010,1.48302743
FRAS3,2010,0.47
RAPT4,2010,1.04
SLCE3,2010,0.000599
LUPA3,2010,-1.5335
KLBN11,2010,0.6436
GRND3,2010,1.04
SANB11,2010,19.44
RCSL4,2010,-0.1635
KEPL3,2010,0.0194
PNVL3,2010,6.6537
GOAU4,2010,2.20382
PATI4,2010,62.00932
BRSR5,2010,0.002
LREN3,2010,2.5252
TASA4,2010,0.5791
RANI3,2010,4.6909
DXCO3,2010,1.0197
CEBR5,2011,2.85201
AMER3,2011,-0.6575
ENGI11,2011,0.1967
CIEL3,2011,3.3262
NEOE3,2011,0.27
GFSA3,2011,-2.1893
BRFS3,2011,1.57
OPTS3,2011,1e-05
PSSA3,2011,1.77648
EMAE4,2011,-1.14619
TGMA3,2011,0.0
PDTC3,2011,0.1019
RAIL3,2011,0.3568
CPFE3,2011,0.0
EGIE3,2011,2.2185
VIVT3,2011,4.40194
STBP3,2011,0.37399
COGN3,2011,0.07943
CCRO3,2011,1.49
JBSS3,2011,0.02777
HYPE3,2011,-0.088
PDGR3,2011,0.67237
TRPL4,2011,6.02735
EQTL3,2011,1.4657
LIGT3,2011,1.52
BRAP4,2011,5.9796
MRFG3,2011,-2.1533
ATMP3,2011,0.34
ECOR3,2011,0.69
ENEV3,2011,-2.98824
FRIO3,2011,0.175
SEER3,2011,0.29
MDIA3,2011,3.23092
EMBR3,2011,0.216
SGPS3,2011,-0.98
MULT3,2011,1.6741
FIEI3,2011,0.15
TAEE11,2011,1.8801
TCSA3,2011,0.797644
LPSB3,2011,2.54714
JHSF3,2011,0.51508
EZTC3,2011,2.25
MRVE3,2011,1.5783
GUAR3,2011,5.5533
GPAR3,2011,-20.208
NEXP3,2011,0.59538
SYNE3,2011,1.376
YDUQ3,2011,0.00085
TRIS3,2011,-0.4942
OSXB3,2011,3e-05
TECN3,2011,1.262
B3SA3,2011,0.53779
PRIO3,2011,0.056
ENAT3,2011,0.36
APER3,2011,1.188
QUAL3,2011,-0.1383
HBSA3,2011,0.19
SNSY3,2011,-3.2
SNSY5,2011,-3.2
CRPG5,2011,0.033229296
FESA4,2011,1.0585
SUZB3,2011,0.07043
ARZZ3,2011,1.05
DIRR3,2011,1.15
RENT3,2011,1.47671
CMIG4,2011,3.53805
RPAD5,2011,0.59423
BMEB4,2011,1.9704
BRGE11,2011,0.80942
CEDO4,2011,1.28
CSMG3,2011,4.04
MEAL3,2011,0.16702
CTSA3,2011,0.6182
CTSA4,2011,0.68
CTNM4,2011,-2.2287
BEES4,2011,0.53
SCAR3,2011,1.6819
BPAC11,2011,0.56
PETR4,2011,2.55
JFEN3,2011,0.66697
BHIA3,2011,0.32184
CSNA3,2011,2.54191
MOAR3,2011,16.02478
VLID3,2011,2.0203
UGPA3,2011,1.59
SOND5,2011,2004.0
RPMG3,2011,-0.02834
TKNO4,2011,9.67725
VALE3,2011,7.17
GGBR4,2011,1.22104
BRKM5,2011,-0.658
EPAR3,2011,0.32
EVEN3,2011,1.0
SBSP3,2011,5.36974
PFRM3,2011,0.793
BAHI3,2011,-0.461449
MGLU3,2011,0.06687
HBOR3,2011,3.2773
BOBR4,2011,-0.35
VULC3,2011,0.0
PLAS3,2011,0.0
TOTS3,2011,1.07
EUCA4,2011,0.6323
ROMI3,2011,0.05
BMKS3,2011,52.0638
ODPV3,2011,0.8218
BPAN4,2011,0.95
PMAM3,2011,-0.14946
LEVE3,2011,4.41092
IGTI11,2011,0.8129
NEMO5,2011,0.14099
BBDC4,2011,3.01
BRIV4,2011,0.75263
FLRY3,2011,0.74
ITUB4,2011,3.06
USIM5,2011,0.25
CALI3,2011,-33.68
RSID3,2011,0.2955
CAMB3,2011,0.1819
ETER3,2011,1.09
MYPK3,2011,2.3553
AMAR3,2011,0.96175
DASA3,2011,0.46824
ITSA4,2011,1.1
REDE3,2011,-1.61
RADL3,2011,0.21599
PINE4,2011,2.19
RDNI3,2011,1.19774
VIVR3,2011,-0.4028
BEEF3,2011,0.4331
TEND3,2011,0.0
CYRE3,2011,1.20483
OIBR4,2011,1.71
INEP4,2011,0.0
POSI3,2011,-0.7887
TEKA4,2011,-5.0743
TXRX4,2011,0.0
PTBL3,2011,0.15
CLSC4,2011,8.39702
WEGE3,2011,0.95
DOHL3,2011,0.48
DOHL4,2011,0.48
MWET4,2011,-0.05
SHUL3,2011,0.7271
SHUL4,2011,0.79981
MTSA4,2011,1.819
FRTA3,2011,0.0
JOPA4,2011,1.9404
HBTS5,2011,0.7782
FRAS3,2011,0.0
MNDL3,2011,0.0
POMO4,2011,0.7707
RAPT4,2011,1.12
SLCE3,2011,0.0016
LUPA3,2011,-5.08551
KLBN11,2011,0.2123
GRND3,2011,1.02
MNPR3,2011,-0.0247
SANB11,2011,0.02041
RCSL4,2011,-0.8197
KEPL3,2011,0.0216
PNVL3,2011,8.18059
GOAU4,2011,1.87125
PATI4,2011,38.56812
BRSR5,2011,0.00244
LREN3,2011,2.7504
TASA4,2011,0.2826
RANI3,2011,1.1539
DXCO3,2011,0.682
BBAS11,2012,0.0
CEBR5,2012,6.04369
AMER3,2012,-1.0903
ENGI11,2012,0.2694
CIEL3,2012,3.54129
NEOE3,2012,0.22
GFSA3,2012,-0.288
BRFS3,2012,0.93524
OPTS3,2012,3e-05
PSSA3,2012,2.09434
EMAE4,2012,-3.51731
TGMA3,2012,1.26
PDTC3,2012,-0.1647
RAIL3,2012,0.3474
CPFE3,2012,1.27
EGIE3,2012,2.29788
VIVT3,2012,3.71851
STBP3,2012,0.4073
COGN3,2012,0.86
CCRO3,2012,0.66033
SHOW3,2012,-0.0825
JBSS3,2012,0.24784
HYPE3,2012,0.3259
PDGR3,2012,-1.7689
TRPL4,2012,5.52522
EQTL3,2012,0.7105
LIGT3,2012,2.07873
BRAP4,2012,1.40876
MRFG3,2012,-0.6359
ATMP3,2012,0.6921
ECOR3,2012,0.76
ENEV3,2012,-0.75263
FRIO3,2012,0.31438
SEER3,2012,0.59765
MDIA3,2012,4.14754
EMBR3,2012,0.9624
SGPS3,2012,-0.046
MULT3,2012,2.1762
FIEI3,2012,-0.53
TAEE11,2012,0.65628
TCSA3,2012,-0.93658
LPSB3,2012,2.08171
IGSN3,2012,-0.23
JHSF3,2012,0.0
EZTC3,2012,2.29
MRVE3,2012,1.1036
GUAR3,2012,5.57923
GPAR3,2012,-24.328
NEXP3,2012,0.43214
SYNE3,2012,1.825
YDUQ3,2012,0.00133
TRIS3,2012,0.3333
LOGG3,2012,0.0639
OSXB3,2012,-9e-05
ANIM3,2012,14.92
TECN3,2012,0.0
B3SA3,2012,0.55651
PRIO3,2012,0.046
CVCB3,2012,460.0
ENAT3,2012,0.31
APER3,2012,1.2
QUAL3,2012,0.10296
MDNE3,2012,0.32
HBSA3,2012,0.0895
SNSY3,2012,-2.83
SNSY5,2012,-2.83
CRPG5,2012,0.024
FESA4,2012,0.9963
SUZB3,2012,-0.23647
ARZZ3,2012,1.09398
DIRR3,2012,1.46
RENT3,2012,1.21552
CMIG4,2012,5.37
RPAD5,2012,0.65101
BMEB4,2012,3.0776
BRGE11,2012,0.90253
CEDO4,2012,1.3
CSMG3,2012,4.04
MEAL3,2012,0.40189
CTSA3,2012,0.8123
CTSA4,2012,0.8935
CTNM4,2012,-0.8813
BEES4,2012,0.05
SCAR3,2012,3.8567
BPAC11,2012,0.84
PETR4,2012,1.62
JFEN3,2012,0.3089
BHIA3,2012,0.99836
CSNA3,2012,-0.28815
MOAR3,2012,15.28324
VLID3,2012,1.8527
UGPA3,2012,1.8933
SOND5,2012,33004.0
RPMG3,2012,-0.470252
TKNO4,2012,7.79053
VALE3,2012,1.91
GGBR4,2012,0.84
UNIP5,2012,0.04851
BRKM5,2012,-1.2975
LOGN3,2012,-0.29
EPAR3,2012,-0.68426
EVEN3,2012,1.16
SBSP3,2012,8.39156
PFRM3,2012,1.248
BAHI3,2012,-0.34154
MGLU3,2012,0.03617
HBOR3,2012,1.39339
BOBR4,2012,-0.44
VULC3,2012,-1.1
NUTR3,2012,0.62
PLAS3,2012,0.0
JSLG3,2012,0.36
TOTS3,2012,1.29
EUCA4,2012,0.98
ROMI3,2012,-0.52
BMKS3,2012,23.0809
ODPV3,2012,0.27453
BPAN4,2012,0.0
PMAM3,2012,0.6469
LEVE3,2012,1.39643
IGTI11,2012,0.0775
NEMO5,2012,-0.35339
BBDC4,2012,3.12
BRIV4,2012,0.94107
FLRY3,2012,0.68
ITUB4,2012,2.8
USIM5,2012,-0.68
CALI3,2012,8.15
MGEL4,2012,-0.01336
RSID3,2012,-0.7442
CAMB3,2012,-0.3333
ETER3,2012,1.26
MYPK3,2012,0.70697
APTI4,2012,107.12
AMAR3,2012,1.2412
DASA3,2012,0.27275
ITSA4,2012,0.94
REDE3,2012,2.69369
RADL3,2012,0.31737
PINE4,2012,1.81
RDNI3,2012,1.7586
VIVR3,2012,-1.5581
BEEF3,2012,-1.3569
TEND3,2012,-0.1941
CYRE3,2012,1.60189
OIBR4,2012,1.09
INEP4,2012,0.0
POSI3,2012,0.3506
TEKA4,2012,2.02043
TXRX4,2012,0.0
PTBL3,2012,0.41
CLSC4,2012,-6.9528
WEGE3,2012,1.06
DOHL3,2012,0.42
DOHL4,2012,0.42
MWET4,2012,-0.75
SHUL3,2012,0.680783
SHUL4,2012,0.748861
MTSA4,2012,2.28743
FRTA3,2012,150000.0
JOPA4,2012,3.48706
HBTS5,2012,0.0412
FRAS3,2012,0.24
MNDL3,2012,0.0
POMO4,2012,0.6762
RAPT4,2012,0.18
SLCE3,2012,0.38749
LUPA3,2012,-9.75275
KLBN11,2012,0.876
GRND3,2012,1.43
MNPR3,2012,-0.3256
SANB11,2012,0.01439
RCSL4,2012,-0.9506
KEPL3,2012,1.1948
LUXM4,2012,2.56
PNVL3,2012,10.32231
GOAU4,2012,1.12
PATI4,2012,1.58205
BRSR5,2012,0.00219
LREN3,2012,2.8739
TASA4,2012,-0.82885
RANI3,2012,0.1368
DXCO3,2012,0.8375
CEBR5,2013,-10.4128
AMER3,2013,-1.0158
ENGI11,2013,0.0
CIEL3,2013,3.41071
NEOE3,2013,0.15
GFSA3,2013,2.0348
BRFS3,2013,1.2255
PSSA3,2013,4.32212
EMAE4,2013,1.7513
TGMA3,2013,0.75
PDTC3,2013,-0.0819
RAIL3,2013,0.3126
CPFE3,2013,0.0
EGIE3,2013,2.20109
VIVT3,2013,0.0
STBP3,2013,0.38357
COGN3,2013,1.92
CCRO3,2013,0.76518
SHOW3,2013,0.1908
JBSS3,2013,0.32332
HYPE3,2013,0.41
PDGR3,2013,-0.20479
TRPL4,2013,0.2091
EQTL3,2013,0.3459
LIGT3,2013,2.88002
BRAP4,2013,-0.14098
MRFG3,2013,-1.7559
ATMP3,2013,0.4326
ECOR3,2013,0.71145
ENEV3,2013,-3.52556
BIOM3,2013,-0.56
FRIO3,2013,-0.573
SEER3,2013,1.05118
MDIA3,2013,4.62217
ABEV3,2013,0.74
EMBR3,2013,1.06679
SGPS3,2013,-0.2653
MULT3,2013,1.5313
FIEI3,2013,-0.65
TAEE11,2013,0.86391
TCSA3,2013,0.0
LPSB3,2013,1.36901
IGSN3,2013,0.33
JHSF3,2013,0.0
EZTC3,2013,3.99
MRVE3,2013,0.89082
GUAR3,2013,6.41917
