CNPJ_CIA;DT_REFER;VERSAO;DENOM_CIA;CD_CVM;GRUPO_DFP;MOEDA;ESCALA_MOEDA;ORDEM_EXERC;DT_INI_EXERC;DT_FIM_EXERC;CD_CONTA;DS_CONTA;VL_CONTA;ST_CONTA_FIXA
00.000.000/0001-91;2010-12-31;3;BCO BRASIL S.A.;001023;DF Consolidado - Demonstração de Resultado Abrangente;REAL;MIL;PENÚLTIMO;2009-01-01;2009-12-31;4.01;Lucro Líquido Consolidado do Período;13479390.0000000000;S
00.000.000/0001-91;2010-12-31;3;BCO BRASIL S.A.;001023;DF Consolidado - Demonstração de Resultado Abrangente;REAL;MIL;ÚLTIMO;2010-01-01;2010-12-31;4.01;Lucro Líquido Consolidado do Período;11330345.0000000000;S
00.000.000/0001-91;2010-12-31;3;BCO BRASIL S.A.;001023;DF Consolidado - Demonstração de Resultado Abrangente;REAL;MIL;PENÚLTIMO;2009-01-01;2009-12-31;4.02;Outros Resultados Abrangentes;81727.0000000000;S
00.000.000/0001-91;2010-12-31;3;BCO BRASIL S.A.;001023;DF Consolidado - Demonstração de Resultado Abrangente;REAL;MIL;ÚLTIMO;2010-01-01;2010-12-31;4.02;Outros Resultados Abrangentes;167832.0000000000;S
00.000.000/0001-91;2010-12-31;3;BCO BRASIL S.A.;001023;DF Consolidado - Demonstração de Resultado Abrangente;REAL;MIL;PENÚLTIMO;2009-01-01;2009-12-31;4.02.01;Ganhos/(Perdas) Líquidos não Realizados;375499.0000000000;N
00.000.000/0001-91;2010-12-31;3;BCO BRASIL S.A.;001023;DF Consolidado - Demonstração de Resultado Abrangente;REAL;MIL;ÚLTIMO;2010-01-01;2010-12-31;4.02.01;Ganhos/(Perdas) Líquidos não Realizados;578336.0000000000;N
00.000.000/0001-91;2010-12-31;3;BCO BRASIL S.A.;001023;DF Consolidado - Demonstração de Resultado Abrangente;REAL;MIL;PENÚLTIMO;2009-01-01;2009-12-31;4.02.02;Reclassificação de Ganhos sobre Ativos Financeiros Disponíveis para Venda Realizados no Exercício;-305540.0000000000;N
00.000.000/0001-91;2010-12-31;3;BCO BRASIL S.A.;001023;DF Consolidado - Demonstração de Resultado Abrangente;REAL;MIL;ÚLTIMO;2010-01-01;2010-12-31;4.02.02;Reclassificação de Ganhos sobre Ativos Financeiros Disponíveis para Venda Realizados no Exercício;-364147.0000000000;N
00.000.000/0001-91;2010-12-31;3;BCO BRASIL S.A.;001023;DF Consolidado - Demonstração de Resultado Abrangente;REAL;MIL;PENÚLTIMO;2009-01-01;2009-12-31;4.02.03;Imposto de Renda e Contribuição Social Relacionados aos Outros Resultados não Realizados;11768.0000000000;N
00.000.000/0001-91;2010-12-31;3;BCO BRASIL S.A.;001023;DF Consolidado - Demonstração de Resultado Abrangente;REAL;MIL;ÚLTIMO;2010-01-01;2010-12-31;4.02.03;Imposto de Renda e Contribuição Social Relacionados aos Outros Resultados não Realizados;-46357.0000000000;N
00.000.000/0001-91;2010-12-31;3;BCO BRASIL S.A.;001023;DF Consolidado - Demonstração de Resultado Abrangente;REAL;MIL;PENÚLTIMO;2009-01-01;2009-12-31;4.03;Resultado Abrangente Consolidado do Período;13561117.0000000000;S
00.000.000/0001-91;2010-12-31;3;BCO BRASIL S.A.;001023;DF Consolidado - Demonstração de Resultado Abrangente;REAL;MIL;ÚLTIMO;2010-01-01;2010-12-31;4.03;Resultado Abrangente Consolidado do Período;11498177.0000000000;S
00.000.000/0001-91;2010-12-31;3;BCO BRASIL S.A.;001023;DF Consolidado - Demonstração de Resultado Abrangente;REAL;MIL;PENÚLTIMO;2009-01-01;2009-12-31;4.03.01;Atribuído a Sócios da Empresa Controladora;13524667.0000000000;S
00.000.000/0001-91;2010-12-31;3;BCO BRASIL S.A.;001023;DF Consolidado - Demonstração de Resultado Abrangente;REAL;MIL;ÚLTIMO;2010-01-01;2010-12-31;4.03.01;Atribuído a Sócios da Empresa Controladora;11463841.0000000000;S
00.000.000/0001-91;2010-12-31;3;BCO BRASIL S.A.;001023;DF Consolidado - Demonstração de Resultado Abrangente;REAL;MIL;PENÚLTIMO;2009-01-01;2009-12-31;4.03.02;Atribuído a Sócios Não Controladores;36450.0000000000;S
00.000.000/0001-91;2010-12-31;3;BCO BRASIL S.A.;001023;DF Consolidado - Demonstração de Resultado Abrangente;REAL;MIL;ÚLTIMO;2010-01-01;2010-12-31;4.03.02;Atribuído a Sócios Não Controladores;34336.0000000000;S
00.000.208/0001-00;2010-12-31;2;BRB BANCO DE BRASILIA S.A.;014206;DF Consolidado - Demonstração de Resultado Abrangente;REAL;MIL;ÚLTIMO;2010-01-01;2010-12-31;4.01;Lucro Líquido Consolidado do Período;263142.0000000000;S
00.000.208/0001-00;2010-12-31;2;BRB BANCO DE BRASILIA S.A.;014206;DF Consolidado - Demonstração de Resultado Abrangente;REAL;MIL;ÚLTIMO;2010-01-01;2010-12-31;4.02;Outros Resultados Abrangentes;-1901.0000000000;S
00.000.208/0001-00;2010-12-31;2;BRB BANCO DE BRASILIA S.A.;014206;DF Consolidado - Demonstração de Resultado Abrangente;REAL;MIL;ÚLTIMO;2010-01-01;2010-12-31;4.02.01;Ganhos/Perdas Transferidos ao Resultado por Alienação;-3434.0000000000;N
