ticker,ano,lucro_liquido
00.000.000/0001-91,2020,13292883.0
00.000.000/0001-91,2021,19722871.0
00.000.000/0001-91,2022,29849335.0
00.000.000/0001-91,2023,33165591.0
00.000.000/0001-91,2024,29171564.0
00.000.208/0001-00,2020,423379.0
00.000.208/0001-00,2021,-407446.0
00.000.208/0001-00,2022,90902.0
00.000.208/0001-00,2023,189539.0
00.000.208/0001-00,2024,311019.0
00.001.180/0001-26,2010,2552985.0
00.001.180/0001-26,2011,3762019.0
00.001.180/0001-26,2012,-6925652.0
00.001.180/0001-26,2013,-6291375.0
00.001.180/0001-26,2014,-2962502.0
00.001.180/0001-26,2015,-14953658.0
00.001.180/0001-26,2016,3513276.0
00.001.180/0001-26,2017,-1725691.0
00.001.180/0001-26,2018,13347577.0
00.001.180/0001-26,2019,10743843.0
00.001.180/0001-26,2020,6387313.0
00.001.180/0001-26,2021,5713633.0
00.001.180/0001-26,2022,3638382.0
00.001.180/0001-26,2023,4394861.0
00.001.180/0001-26,2024,10380753.0
00.070.698/0001-11,2010,19617.0
00.070.698/0001-11,2011,46132.0
00.070.698/0001-11,2012,74679.0
00.070.698/0001-11,2013,-75163.0
00.070.698/0001-11,2014,-96319.0
00.070.698/0001-11,2015,88519.0
00.070.698/0001-11,2016,133693.0
00.070.698/0001-11,2017,177233.0
00.070.698/0001-11,2018,115710.0
00.070.698/0001-11,2019,156629.0
00.070.698/0001-11,2020,465378.0
00.070.698/0001-11,2021,1294407.0
00.070.698/0001-11,2022,258053.0
00.070.698/0001-11,2023,235023.0
00.070.698/0001-11,2024,225527.0
00.080.671/0001-00,2020,221843.0
00.080.671/0001-00,2021,353867.0
00.080.671/0001-00,2022,348744.0
00.080.671/0001-00,2023,239857.0
00.080.671/0001-00,2024,272076.0
00.095.147/0001-02,2010,364349.0
00.108.786/0001-65,2010,307151.0
00.108.786/0001-65,2011,373173.0
00.108.786/0001-65,2012,393702.0
00.108.786/0001-65,2013,176568.0
00.194.724/0001-13,2021,516512.0
00.194.724/0001-13,2022,297662.0
00.194.724/0001-13,2023,334090.0
00.194.724/0001-13,2024,28155.0
00.242.184/0001-04,2021,58064.0
00.242.184/0001-04,2022,148592.0
00.242.184/0001-04,2024,175639.0
00.249.786/0001-85,2010,1375.0
00.249.786/0001-85,2011,1523.0
00.249.786/0001-85,2012,3071.0
00.336.701/0001-04,2014,-117358.0
00.336.701/0001-04,2015,-235633.0
00.336.701/0001-04,2016,-270883.0
00.354.053/0001-00,2010,-626590.0
00.354.053/0001-00,2011,-629182.0
00.354.053/0001-00,2012,-645591.0
00.354.053/0001-00,2013,-966912.0
00.354.053/0001-00,2014,111041.0
00.354.053/0001-00,2015,-155177.0
00.354.053/0001-00,2016,5301.0
00.354.053/0001-00,2017,-85373.0
00.354.053/0001-00,2018,-72602.0
00.354.053/0001-00,2019,-85003.0
00.357.038/0001-16,2023,644547.0
00.357.038/0001-16,2023,644547.0
00.357.038/0001-16,2024,2084000.0
00.359.742/0001-08,2017,4065.0
00.359.742/0001-08,2018,7079.0
00.359.742/0001-08,2019,2113.0
00.359.742/0001-08,2020,12330.0
00.359.742/0001-08,2021,6070.0
00.359.742/0001-08,2022,10024.0
00.359.742/0001-08,2023,-515.0
00.389.481/0001-79,2020,36034.0
00.389.481/0001-79,2021,98665.0
00.389.481/0001-79,2022,140897.0
00.389.481/0001-79,2023,160371.0
00.389.481/0001-79,2024,200184.0
00.622.416/0001-41,2010,9637.0
00.622.416/0001-41,2011,2448.0
00.622.416/0001-41,2012,-31621.0
00.622.416/0001-41,2013,-32490.0
00.622.416/0001-41,2014,-19528.0
00.622.416/0001-41,2015,-63770.0
00.622.416/0001-41,2016,-15544.0
00.622.416/0001-41,2017,8401.0
00.622.416/0001-41,2018,74632.0
00.622.416/0001-41,2019,45236.0
00.622.416/0001-41,2020,59504.0
00.622.416/0001-41,2021,183619.0
00.622.416/0001-41,2022,237814.0
00.622.416/0001-41,2023,380979.0
00.743.065/0001-27,2010,4975591.0
00.743.065/0001-27,2011,6388740.0
00.743.065/0001-27,2012,1145019.0
00.743.065/0001-27,2013,-481253.0
00.743.065/0001-27,2014,-299383.0
00.743.065/0001-27,2015,-8325767.0
00.743.065/0001-27,2016,2635713.0
00.743.065/0001-27,2017,2730423.0
00.743.065/0001-27,2018,5123097.0
00.743.065/0001-27,2019,301708.0
00.776.574/0001-56,2010,33587.0
00.776.574/0001-56,2011,-89168.0
00.776.574/0001-56,2012,-170667.0
00.776.574/0001-56,2013,-159562.0
00.776.574/0001-56,2014,-163313.0
00.776.574/0001-56,2015,-418437.0
00.776.574/0001-56,2016,-485901.0
00.776.574/0001-56,2017,-411750.0
00.776.574/0001-56,2018,-397914.0
00.776.574/0001-56,2019,-318238.0
00.776.574/0001-56,2020,-210758.0
00.776.574/0001-56,2021,543795.0
00.776.574/0001-56,2022,-12911538.0
00.776.574/0001-56,2023,-2272000.0
00.776.574/0001-56,2024,8281000.0
00.864.214/0001-06,2010,194648.0
00.864.214/0001-06,2011,212054.0
00.864.214/0001-06,2012,291065.0
00.864.214/0001-06,2013,202747.0
00.864.214/0001-06,2014,304720.0
00.864.214/0001-06,2015,351401.0
00.864.214/0001-06,2016,195786.0
00.864.214/0001-06,2017,572582.0
00.864.214/0001-06,2018,1179672.0
00.864.214/0001-06,2019,527158.0
00.864.214/0001-06,2020,1607474.0
00.864.214/0001-06,2021,2814807.0
00.864.214/0001-06,2022,2428020.0
00.864.214/0001-06,2023,2583534.0
00.864.214/0001-06,2024,4636282.0
00.873.894/0001-24,2023,63754.0
00.873.894/0001-24,2024,25653.0
00.924.429/0001-75,2010,-11665.0
00.924.429/0001-75,2011,-175196.0
00.924.429/0001-75,2012,-163150.0
00.924.429/0001-75,2013,156449.0
00.924.429/0001-75,2014,37974.0
00.994.533/0001-36,2010,-84860.0
00.994.533/0001-36,2011,-7119.0
00.994.533/0001-36,2012,-72047.0
00.994.533/0001-36,2013,-81800.0
00.994.533/0001-36,2014,-57175.0
00.994.533/0001-36,2015,-169223.0
01.027.058/0001-91,2010,1830914.0
01.027.058/0001-91,2011,1816915.0
01.027.058/0001-91,2012,2320618.0
01.027.058/0001-91,2013,2680676.0
01.027.058/0001-91,2014,3228933.0
01.027.058/0001-91,2015,3651433.0
01.027.058/0001-91,2016,4183496.0
01.027.058/0001-91,2017,4264629.0
01.027.058/0001-91,2018,3559435.0
01.027.058/0001-91,2019,1789559.0
01.027.058/0001-91,2020,-347338.0
01.027.058/0001-91,2021,-317039.0
01.027.058/0001-91,2022,1714680.0
01.027.058/0001-91,2023,2468466.0
01.027.058/0001-91,2024,1769987.0
01.083.200/0001-18,2010,2064592.0
01.083.200/0001-18,2011,1845097.0
01.083.200/0001-18,2012,1552750.0
01.083.200/0001-18,2013,1070811.0
01.083.200/0001-18,2014,776886.0
01.083.200/0001-18,2015,371983.0
01.083.200/0001-18,2016,354303.0
01.083.200/0001-18,2017,451529.0
01.083.200/0001-18,2018,1593951.0
01.083.200/0001-18,2019,2309322.0
01.083.200/0001-18,2020,2905000.0
01.083.200/0001-18,2021,4066000.0
