CNPJ_CIA;DT_REFER;VERSAO;DENOM_CIA;QT_ACAO_ORDIN_CAP_INTEGR;QT_ACAO_PREF_CAP_INTEGR;QT_ACAO_TOTAL_CAP_INTEGR;QT_ACAO_ORDIN_TESOURO;QT_ACAO_PREF_TESOURO;QT_ACAO_TOTAL_TESOURO
00.000.000/0001-91;2024-12-31;1;BCO BRASIL S.A.;5730834040;0;5730834040;22786568;0;22786568
00.000.208/0001-00;2024-12-31;3;BRB BANCO DE BRASILIA S.A.;284785449;113056415;397841864;0;0;0
00.001.180/0001-26;2024-12-31;2;CENTRAIS ELET BRAS S.A. - ELETROBRAS;2027011;280088;2307099;52224;7241;59465
00.070.698/0001-11;2024-12-31;1;COMPANHIA ENERGÉTICA DE BRASÍLIA - CEB;35920890;36161025;72081915;0;0;0
00.080.671/0001-00;2024-12-31;1;CARAMURU ALIMENTOS S.A.;24444000;0;24444000;0;0;0
00.194.724/0001-13;2024-12-31;1;AUREN OPERAÇÕES S.A.;2031549574;0;2031549574;0;0;0
00.242.184/0001-04;2024-12-31;1;ARMAC LOCAÇÃO, LOGÍSTICA E SERVIÇOS S.A.;346494097;0;346494097;293444;0;293444
00.336.701/0001-04;2024-12-31;1;TELEC BRASILEIRAS S.A. TELEBRAS;67975599;18407491;86383090;193;0;193
00.357.038/0001-16;2024-12-31;2;CENTRAIS ELÉTRICAS DO NORTE DO BRASIL S.A.;168044751;0;168044751;10713;0;10713
00.359.742/0001-08;2024-12-31;4;FICTOR ALIMENTOS S.A.;23804898;0;23804898;0;0;0
00.383.281/0001-09;2024-12-31;1;BNDES PARTICIPACOES S.A. - BNDESPAR;1000000;0;1000000;0;0;0
00.389.481/0001-79;2024-12-31;1;LM TRANSPORTES INTERESTADUAIS SERVIÇOS E COMÉRCIO S.A.;212;0;212;0;0;0
00.644.907/0001-93;2024-12-31;1;INVESTCO S.A.;402202;384204;786406;0;0;0
00.743.065/0001-27;2024-12-31;1;LITEL PARTICIPACOES S.A.;215495;0;215495;0;0;0
00.776.574/0001-56;2024-12-31;1;AMERICANAS S.A. - EM RECUPERAÇÃO JUDICIAL;200244252;0;200244252;74;0;74
00.864.214/0001-06;2024-12-31;1;ENERGISA S.A.;887231247;1402193416;2289424663;754475;3017900;3772375
00.873.894/0001-24;2024-12-31;1;LETS RENT A CAR S/A;579;0;579;0;0;0
00.897.864/0001-58;2024-12-31;1;SANTA CATARINA PART INVEST SA;200;0;200;0;0;0
00.924.429/0001-75;2024-12-31;1;FERROVIA CENTRO-ATLANTICA S.A.;142807784;19;142807803;0;0;0
00.938.574/0001-05;2024-12-31;1;CONC RIO-TERESOPOLIS S.A.;48786;37680;86466;0;0;0
00.974.211/0001-25;2024-12-31;1;LINHA AMARELA S.A. - LAMSA;70666879;141333771;212000650;0;0;0
00.979.969/0001-56;2024-12-31;1;CAIXA ADM DIV PUB ESTADUAL SA;2402611661;0;2402611661;0;0;0
01.027.058/0001-91;2024-12-31;1;CIELO S.A. -  INSTITUIÇÃO DE PAGAMENTO;2668174120;0;2668174120;5842;0;5842
01.083.200/0001-18;2024-12-31;2;NEOENERGIA S.A.;1213797248;0;1213797248;640674;0;640674
01.104.937/0001-70;2024-12-31;1;ELETROBRÁS PARTICIPAÇÕES S.A. - ELETROPAR;11764889;0;11764889;0;0;0
01.107.327/0001-20;2024-12-31;1;BBM LOGÍSTICA S.A.;40760818;0;40760818;0;0;0
01.258.944/0001-26;2024-12-31;1;RUMO MALHA SUL S.A.;315866393927623;480557389696029;796423783623652;0;0;0
01.319.044/0001-41;2024-12-31;1;WTC AMAZONAS SUITE HOTEL S.A.;100;0;100;0;0;0
01.417.222/0001-77;2024-12-31;1;MRS LOGISTICA S.A.;187210;150767;337977;0;0;0
01.543.032/0001-04;2024-12-31;1;EQUATORIAL GOIÁS DISTRIBUIDORA DE ENERGIA S.A.;283067254;0;283067254;0;0;0
01.545.826/0001-07;2024-12-31;1;GAFISA S.A.;115936;0;115936;32913;0;32913
01.548.981/0001-79;2024-12-31;1;INVESTIMENTOS BEMGE S.A.;792;1572;2364;0;0;0
01.599.101/0001-93;2024-12-31;1;SEQUOIA LOGÍSTICA E TRANSPORTES S.A.;22805854;0;22805854;0;0;0
01.616.929/0001-02;2024-12-31;1;SANEAMENTO DE GOIAS SA;1866906374;648639993;2515546367;0;0;0
01.637.895/0001-32;2024-12-31;1;VOTORANTIM CIMENTOS S.A.;9225042782;300571428;9525614210;0;0;0
01.838.723/0001-27;2024-12-31;1;BRF S.A.;1682473246;0;1682473246;61629171;0;61629171
01.851.771/0001-55;2024-12-31;1;524 PARTICIPACOES S.A.;10116536859;0;10116536859;0;0;0
01.896.779/0001-38;2024-12-31;2;CSU DIGITAL S.A.;41800;0;41800;519;0;519
01.917.818/0001-36;2024-12-31;1;LIGHT ENERGIA S.A.;77421581;0;77421581;0;0;0
01.938.783/0001-11;2024-12-31;2;CIA PARTICIPACOES ALIANCA DA BAHIA;9495733;9412283;18908016;2271;350;2621
01.957.772/0001-89;2024-12-31;1;SUL 116 PARTICIPACOES S.A.;83596903;0;83596903;0;0;0
01.968.293/0001-68;2024-12-31;1;ELETRORIVER S.A.;30829941;30829941;61659882;0;0;0
01.989.044/0001-59;2024-12-31;1;WTC RIO EMPREEND. E PARTICIPAÇÕES S.A.;1000;0;1000;0;0;0
02.016.440/0001-62;2024-12-31;1;RGE SUL DISTRIBUIDORA DE ENERGIA S.A.;1125427;0;1125427;0;0;0
02.016.507/0001-69;2024-12-31;1;CIA DE GER. E TRANS. DE ENERGIA ELÉTRICA DO SUL DO BRASIL;499362292202;0;499362292202;6540876;0;6540876
02.041.460/0001-93;2024-12-31;1;V. TAL - REDE NEUTRA DE TELECOMUNICAÇÕES S.A.;32872880971;0;32872880971;0;0;0
02.062.747/0001-08;2024-12-31;2;SUDESTE S.A.;7521985933556;0;7521985933556;0;0;0
02.149.205/0001-69;2024-12-31;1;PORTO SEGURO S.A.;646586;0;646586;6118;0;6118
02.193.750/0001-52;2024-12-31;1;DEXXOS PARTICIPAÇÕES S.A.;103538833;5771805;109310638;262281;361279;623560
02.201.787/0001-85;2024-12-31;1;CEL PARTICIPAÇÕES S.A. - CELPAR;2609000;30;2609030;0;0;0
02.217.319/0001-07;2024-12-31;1;YBYRÁ CAPITAL S.A.;116574;116574;233148;0;0;0
02.255.187/0001-08;2024-12-31;1;UNIFIQUE TELECOMUNICAÇÕES S.A.;362049609;0;362049609;9000041;0;9000041
02.258.422/0001-97;2024-12-31;2;INEPAR EQUIPAMENTOS E MONTAGENS S/A - EM RECUPERACAO JUDICIA;246386;66035;312421;0;0;0
02.281.836/0001-37;2024-12-31;1;TRANSNORDESTINA LOGISTICA SA;28313622;27649471;55963093;0;0;0
02.286.479/0001-08;2024-12-31;1;LOCALIZA FLEET S.A.;637869842;0;637869842;0;0;0
02.291.077/0001-93;2024-12-31;1;PRODUTORES ENERGET.DE MANSO S.A.- PROMAN;100;0;100;0;0;0
02.302.100/0001-06;2024-12-31;1;EDP SÃO PAULO DISTRIBUIÇÃO DE ENERGIA S.A.;39091735;0;39091735;0;0;0
02.302.101/0001-42;2024-12-31;3;EMAE - EMPRESA METROP.AGUAS ENERGIA S.A.;14705;22242;36947;0;0;0
02.328.280/0001-97;2024-12-31;1;ELEKTRO REDES S.A.;91881;101878;193759;0;0;0
02.338.534/0001-58;2024-12-31;1;LONGDIS S.A.;11035292;0;11035292;0;0;0
02.351.144/0001-18;2024-12-31;1;TEGMA GESTAO LOGISTICA S.A.;66002915;0;66002915;65143;0;65143
02.351.877/0001-52;2024-12-31;1;LWSA S/A;562886478;0;562886478;4550829;0;4550829
02.357.251/0001-53;2024-12-31;1;LIFEMED INDUSTRIAL DE EQUIP. E ART. MEDICOS E HOSP. S.A;2576438;0;2576438;0;0;0
02.365.069/0001-44;2024-12-31;1;PADTEC HOLDING S.A.;79469626;0;79469626;0;0;0
02.382.073/0001-10;2024-12-31;1;PROLAGOS S/A - CONC.DE SERVICOS PÚBLICOS DE ÁGUA E ESGOTO;342985643;0;342985643;0;0;0
02.387.241/0001-60;2024-12-31;1;RUMO S.A.;1854868949;0;1854868949;4172689;0;4172689
02.397.080/0001-96;2024-12-31;1;ITAPEBI GERACAO DE ENERGIA S.A.;85060;0;85060;0;0;0
02.421.421/0001-11;2024-12-31;1;TIM S.A.;2420804398;0;2420804398;201320;0;201320
02.429.144/0001-93;2024-12-31;1;CPFL ENERGIA S.A.;1152254440;0;1152254440;0;0;0
02.451.848/0001-62;2024-12-31;1;CONC SIST ANHANG-BANDEIRANT S.A. AUTOBAN;175000000;0;175000000;0;0;0
02.474.103/0001-19;2024-12-31;1;ENGIE BRASIL ENERGIA S.A.;815927740;0;815927740;0;0;0
